idserie,month,periodo,val
14,19-Dec,11,23
14,20-Jan,12,22
14,20-Feb,13,21
14,20-Mar,14,21
14,20-Apr,15,22
14,20-May,16,22
14,20-Jun,17,22
14,20-Jul,18,22
14,20-Aug,19,22
14,20-Sep,20,22
14,20-Oct,21,22
14,20-Nov,22,23
14,20-Dec,23,26
14,21-Jan,24,23
14,21-Feb,25,21
14,21-Mar,26,23
14,21-Apr,27,22
14,21-May,28,24
14,21-Jun,29,24
14,21-Jul,30,23
14,21-Aug,31,23
14,21-Sep,32,23
14,21-Oct,33,25
14,21-Nov,34,25
14,21-Dec,35,27
14,22-Jan,36,24
14,22-Feb,37,23
14,22-Mar,38,23
14,22-Apr,39,24
14,22-May,40,24
14,22-Jun,41,24
14,22-Jul,42,25
14,22-Aug,43,23
14,22-Sep,44,25
14,22-Oct,45,25
14,22-Nov,46,25
14,22-Dec,47,26
15,19-Jan,0,12
15,19-Feb,1,11
15,19-Mar,2,11
15,19-Apr,3,12
15,19-May,4,13
15,19-Jun,5,13
15,19-Jul,6,13
15,19-Aug,7,13
15,19-Sep,8,13
15,19-Oct,9,13
15,19-Nov,10,15
15,19-Dec,11,17
15,20-Jan,12,14
15,20-Feb,13,13
15,20-Mar,14,14
15,20-Apr,15,13
15,20-May,16,16
15,20-Jun,17,15
15,20-Jul,18,16
15,20-Aug,19,15
15,20-Sep,20,15
15,20-Oct,21,17
15,20-Nov,22,16
15,20-Dec,23,20
15,21-Jan,24,16
15,21-Feb,25,14
15,21-Mar,26,15
15,21-Apr,27,17
15,21-May,28,17
15,21-Jun,29,18
15,21-Jul,30,17
15,21-Aug,31,17
15,21-Sep,32,17
15,21-Oct,33,20
15,21-Nov,34,18
15,21-Dec,35,20
15,22-Jan,36,19
15,22-Feb,37,16
15,22-Mar,38,19
15,22-Apr,39,18
15,22-May,40,19
15,22-Jun,41,21
15,22-Jul,42,20
15,22-Aug,43,18
15,22-Sep,44,19
15,22-Oct,45,21
15,22-Nov,46,21
15,22-Dec,47,26
16,19-Jan,0,14
16,19-Feb,1,13
16,19-Mar,2,14
16,19-Apr,3,14
16,19-May,4,15
16,19-Jun,5,15
16,19-Jul,6,15
16,19-Aug,7,14
16,19-Sep,8,15
16,19-Oct,9,15
16,19-Nov,10,15
16,19-Dec,11,18
16,20-Jan,12,15
16,20-Feb,13,15
16,20-Mar,14,15
16,20-Apr,15,15
16,20-May,16,15
16,20-Jun,17,17
16,20-Jul,18,15
16,20-Aug,19,15
16,20-Sep,20,16
16,20-Oct,21,16
16,20-Nov,22,16
16,20-Dec,23,18
16,21-Jan,24,16
16,21-Feb,25,15
16,21-Mar,26,17
16,21-Apr,27,16
16,21-May,28,16
16,21-Jun,29,18
16,21-Jul,30,17
16,21-Aug,31,17
16,21-Sep,32,17
16,21-Oct,33,18
16,21-Nov,34,17
16,21-Dec,35,19
16,22-Jan,36,17
16,22-Feb,37,17
16,22-Mar,38,17
16,22-Apr,39,18
16,22-May,40,17
16,22-Jun,41,19
16,22-Jul,42,19
16,22-Aug,43,17
